,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,Price_bucket
7478,490300,M,Manual,1,2009-12-04 14:19:00,0.85,12970.0,United Kingdom,0.85,"(0.831, 0.907]"
7479,490300,M,Manual,1,2009-12-04 14:19:00,0.21,12970.0,United Kingdom,0.21,"(0.152, 0.227]"
11990,490760,M,Manual,1,2009-12-08 09:49:00,10.0,14295.0,United Kingdom,10.0,"(9.966, 10.042]"
12419,490881,M,Manual,1,2009-12-08 12:58:00,10.0,16210.0,United Kingdom,10.0,"(9.966, 10.042]"
13366,490999,M,Manual,1,2009-12-08 17:26:00,15.95,13883.0,United Kingdom,15.95,"(15.931, 16.006]"
13367,490999,M,Manual,1,2009-12-08 17:26:00,8.7,13883.0,United Kingdom,8.7,"(8.683, 8.758]"
15102,491176,M,Manual,1,2009-12-10 11:50:00,1213.02,13091.0,United Kingdom,1213.02,"(1212.987, 1213.063]"
24799,492484,M,Manual,4,2009-12-17 11:43:00,0.35,15862.0,United Kingdom,1.4,"(0.303, 0.378]"
27573,492935,M,Manual,1,2009-12-21 12:18:00,74.1,13641.0,United Kingdom,74.1,"(74.062, 74.138]"
27617,492948,M,Manual,1,2009-12-21 14:33:00,68.96,14606.0,United Kingdom,68.96,"(68.928, 69.004]"
29819,493759,M,Manual,3,2010-01-06 13:56:00,1.25,17965.0,United Kingdom,3.75,"(1.209, 1.284]"
32433,494213,M,Manual,1,2010-01-12 11:40:00,0.85,17945.0,United Kingdom,0.85,"(0.831, 0.907]"
41641,495409,M,Manual,1,2010-01-25 10:26:00,29.95,17810.0,United Kingdom,29.95,"(29.897, 29.973]"
45056,496059,M,Manual,1,2010-01-28 15:26:00,20.0,16535.0,United Kingdom,20.0,"(19.932, 20.007]"
45593,496115,M,Manual,1,2010-01-29 11:04:00,8985.6,17949.0,United Kingdom,8985.6,"(8985.552, 8985.627]"
49706,496725,M,Manual,1,2010-02-03 14:16:00,1.5,13619.0,United Kingdom,1.5,"(1.435, 1.511]"
50459,496872,M,Manual,2,2010-02-04 13:34:00,0.5,14648.0,United Kingdom,1.0,"(0.454, 0.529]"
50460,496872,M,Manual,1,2010-02-04 13:34:00,1.0,14648.0,United Kingdom,1.0,"(0.982, 1.058]"
51903,497039,M,Manual,1,2010-02-05 14:34:00,102.84,13758.0,United Kingdom,102.84,"(102.826, 102.901]"
53419,497347,M,Manual,2,2010-02-08 16:06:00,0.5,17774.0,United Kingdom,1.0,"(0.454, 0.529]"
55689,497839,M,Manual,3,2010-02-12 15:24:00,0.85,17954.0,United Kingdom,2.55,"(0.831, 0.907]"
55850,497882,M,Manual,1,2010-02-14 11:42:00,100.0,12748.0,United Kingdom,100.0,"(99.957, 100.033]"
58591,498114,M,Manual,12,2010-02-16 14:32:00,6.75,15311.0,United Kingdom,81.0,"(6.72, 6.796]"
58677,498121,M,Manual,3,2010-02-16 15:27:00,7.95,17351.0,United Kingdom,23.85,"(7.928, 8.004]"
61317,498518,M,Manual,2,2010-02-19 12:48:00,7.49,15867.0,United Kingdom,14.98,"(7.475, 7.551]"
61489,498545,M,Manual,2,2010-02-19 17:02:00,1.25,13191.0,United Kingdom,2.5,"(1.209, 1.284]"
61490,498545,M,Manual,2,2010-02-19 17:02:00,1.49,13191.0,United Kingdom,2.98,"(1.435, 1.511]"
